Campaign Name,Ad Group Name,Target Keyword
English Software,Web Development,business software
Deutsche Software,Geschäftstools,Geschäftssoftware
Logiciel Français,Outils Pro,logiciel professionnel
Software Español,Herramientas,software comercial
Software Italiano,Strumenti Aziendali,software aziendale
Nederlandse Software,Zakelijke Tools,zakelijke software
Polskie Oprogramowanie,Narzędzia Biznesowe,oprogramowanie biznesowe
Русское ПО,Бизнес-инструменты,бизнес-программное обеспечение
日本ソフトウェア,ビジネスツール,ビジネスソフトウェア
한국 소프트웨어,비즈니스 도구,비즈니스 소프트웨어 
